word,frequency,type,gender,dictionaryForm,languageLevel,english
señor,2744,proper-noun,masculine,Señor,A1,Mister
sr.,1739,proper-noun,masculine,Señor,A1,Mr.
john,378,proper-noun,masculine,Juan,A1,John
jack,340,proper-noun,other,Jack,other,Jack
sam,287,proper-noun,other,Sam,A1,Sam
york,275,proper-noun,other,York,A1,York
joe,247,proper-noun,other,Joe,A1,Joe
michael,245,proper-noun,other,Michael,A1,Michael
david,244,proper-noun,masculine,David,A1,David
frank,241,proper-noun,other,Frank,A1,Frank
charlie,241,proper-noun,other,Charlie,A1,Charlie
george,231,proper-noun,masculine,Jorge,A1,George
mike,222,proper-noun,other,Mike,A1,Mike
peter,195,proper-noun,other,Pedro,A1,Peter
paul,187,proper-noun,other,Pablo,A1,Paul
james,176,proper-noun,other,James,A1,James
san,175,proper-noun,other,San,A2,Saint
max,174,proper-noun,other,Max,other,Max
henry,167,proper-noun,other,Henry,A1,Henry
jesús,166,proper-noun,other,Jesús,A1,Jesus
harry,163,proper-noun,other,Harry,A1,Harry
mary,157,proper-noun,feminine,María,A1,Mary
jimmy,152,proper-noun,other,Jimmy,A1,Jimmy
bob,152,proper-noun,other,Bob,other,Bob
londres,150,proper-noun,other,Londres,A1,London
jim,149,proper-noun,other,Jim,A1,Jim
danny,146,proper-noun,other,Danny,A1,Danny
nick,144,proper-noun,masculine,Nick,other,Nick
alex,143,proper-noun,other,Alex,A1,Alex
steve,142,proper-noun,other,Steve,A1,Steve
tony,142,proper-noun,other,Tony,A1,Tony
sarah,138,proper-noun,feminine,Sarah,A1,Sarah
parís,136,proper-noun,other,París,A1,Paris
fbi,133,proper-noun,other,FBI,A2,FBI
jane,132,proper-noun,feminine,Jane,A1,Jane
tommy,131,proper-noun,other,Tommy,A1,Tommy
inglés,131,proper-noun,masculine,Inglés,A1,English
santa,130,proper-noun,feminine,Santa,A1,Saint
billy,127,proper-noun,other,Billy,other,Billy
johnny,127,proper-noun,other,Johnny,A1,Johnny
richard,125,proper-noun,other,Richard,other,Richard
eddie,120,proper-noun,other,Eddie,A1,Eddie
maría,119,proper-noun,feminine,María,A1,Mary
robert,118,proper-noun,other,Robert,A1,Robert
chris,117,proper-noun,other,Chris,A1,Chris
ryan,113,proper-noun,other,Ryan,A1,Ryan
américa,110,proper-noun,feminine,América,A1,America
jake,109,proper-noun,masculine,Jake,A1,Jake
francia,108,proper-noun,other,Francia,A1,France
bobby,107,proper-noun,other,Bobby,A1,Bobby
martin,107,proper-noun,other,Martín,A1,Martin
amy,107,proper-noun,other,Amy,A1,Amy
inglaterra,106,proper-noun,feminine,Inglaterra,A1,England
daniel,105,proper-noun,other,Daniel,A1,Daniel
charles,103,proper-noun,other,Charles,A1,Charles
adam,102,proper-noun,other,Adán,A1,Adam
kevin,101,proper-noun,other,Kevin,A1,Kevin
brian,99,proper-noun,masculine,Brian,A1,Brian
china,98,proper-noun,feminine,China,A1,China
eric,97,proper-noun,other,Eric,A1,Eric
mr,96,proper-noun,masculine,Señor,A1,Mr.
anna,96,proper-noun,feminine,Anna,other,Anna
kate,95,proper-noun,feminine,Kate,A1,Kate
roma,93,proper-noun,feminine,Roma,A1,Rome
jerry,93,proper-noun,other,Jerry,A1,Jerry
sr,92,proper-noun,masculine,Señor,A1,Mister
thomas,92,proper-noun,other,Tomás,A1,Thomas
washington,92,proper-noun,other,Washington,A1,Washington
sheriff,91,proper-noun,masculine,Sheriff,A2,sheriff
andy,91,proper-noun,other,Andy,A1,Andy
rachel,91,proper-noun,feminine,Rachel,A1,Rachel
tomas,91,proper-noun,masculine,Tomás,other,Thomas
scott,88,proper-noun,other,Scott,other,Scott
pete,87,proper-noun,masculine,Pete,other,Pete
kim,87,proper-noun,other,Kim,other,Kim
larry,87,proper-noun,other,Larry,A1,Larry
walter,86,proper-noun,other,Walter,A1,Walter
emily,85,proper-noun,feminine,Emily,A1,Emily
jason,85,proper-noun,other,Jason,A1,Jason
jeff,85,proper-noun,other,Jeff,A1,Jeff
matt,84,proper-noun,other,Matt,other,Matt
kelly,84,proper-noun,feminine,Kelly,A1,Kelly
europa,83,proper-noun,feminine,Europa,A1,Europe
william,81,proper-noun,other,William,A1,William
dave,81,proper-noun,other,Dave,A1,Dave
india,80,proper-noun,feminine,India,A1,India
laura,79,proper-noun,feminine,Laura,A1,Laura
annie,77,proper-noun,feminine,Annie,A1,Annie
alan,77,proper-noun,other,Alan,A1,Alan
clark,77,proper-noun,other,Clark,A1,Clark
carl,77,proper-noun,masculine,Carl,A1,Carl
emma,77,proper-noun,feminine,Emma,A1,Emma
california,77,proper-noun,other,California,A1,California
claire,76,proper-noun,feminine,Claire,other,Claire
chicago,76,proper-noun,other,Chicago,A1,Chicago
kyle,75,proper-noun,other,Kyle,A1,Kyle
ted,74,proper-noun,other,Ted,other,Ted
simon,74,proper-noun,other,Simón,A1,Simon
luke,73,proper-noun,other,Lucas,A1,Luke
gary,72,proper-noun,other,Gary,A1,Gary
alice,71,proper-noun,feminine,Alicia,A1,Alice
lucy,71,proper-noun,feminine,Lucy,A1,Lucy
josh,71,proper-noun,other,Josh,A1,Josh
susan,70,proper-noun,feminine,Susan,A1,Susan
phil,70,proper-noun,other,Phil,other,Phil
smith,70,proper-noun,other,Smith,A1,smith
alemania,67,proper-noun,feminine,Alemania,A1,Germany
jenny,67,proper-noun,feminine,Jenny,A1,Jenny
jackson,67,proper-noun,other,Jackson,A1,Jackson
taylor,66,proper-noun,other,Taylor,other,Taylor
julia,65,proper-noun,feminine,Julia,A1,Julia
morgan,64,proper-noun,other,Morgan,other,Morgan
karen,64,proper-noun,feminine,Karen,A1,Karen
hank,64,proper-noun,other,Hank,other,Hank
arthur,63,proper-noun,other,Arthur,A1,Arthur
julie,63,proper-noun,feminine,Julie,A1,Julie
maggie,63,proper-noun,feminine,Maggie,A1,Maggie
jones,62,proper-noun,other,Jones,A1,Jones
fred,62,proper-noun,other,Fred,A1,Fred
louis,62,proper-noun,other,Louis,A1,Louis
carlos,61,proper-noun,masculine,Carlos,A1,Carlos
jackie,61,proper-noun,other,Jackie,A1,Jackie
méxico,61,proper-noun,other,México,A1,Mexico
sara,60,proper-noun,feminine,Sara,A1,Sara
cristo,59,proper-noun,masculine,Cristo,A1,Christ
francisco,59,proper-noun,masculine,Francisco,A1,Francisco
howard,59,proper-noun,other,Howard,A1,Howard
helen,59,proper-noun,feminine,Helena,A1,Helen
donna,58,proper-noun,feminine,Donna,other,Donna
julio,58,proper-noun,masculine,Julio,A1,July
elizabeth,57,proper-noun,feminine,Elizabeth,A1,Elizabeth
barry,57,proper-noun,other,Barry,A1,Barry
abby,57,proper-noun,feminine,Abby,A1,Abby
patrick,57,proper-noun,other,Patrick,A1,Patrick
andrew,57,proper-noun,other,Andrew,A1,Andrew
antonio,57,proper-noun,masculine,Antonio,A1,Antonio
lily,56,proper-noun,feminine,Lily,other,lily
jamie,56,proper-noun,other,Jamie,A1,Jamie
lucas,56,proper-noun,masculine,Lucas,A1,Lucas
amanda,56,proper-noun,feminine,Amanda,A1,Amanda
rick,56,proper-noun,other,Rick,other,Rick
stan,56,proper-noun,other,Stan,A1,Stan
terry,56,proper-noun,other,Terry,other,Terry
juan,56,proper-noun,masculine,Juan,A1,John
madame,56,proper-noun,feminine,madame,A1,madam
robin,55,proper-noun,other,Robin,other,Robin
hollywood,54,proper-noun,other,Hollywood,A1,Hollywood
johnson,54,proper-noun,other,Johnson,A1,Johnson
greg,54,proper-noun,other,Gregorio,A1,Greg
italia,53,proper-noun,feminine,Italia,A1,Italy
sally,53,proper-noun,feminine,Sally,A1,Sally
tyler,53,proper-noun,other,Tyler,A1,Tyler
texas,53,proper-noun,other,Texas,A1,Texas
ricky,53,proper-noun,masculine,Ricky,A1,Ricky
español,52,proper-noun,masculine,español,A1,Spanish
marty,51,proper-noun,other,Marty,other,Marty
molly,51,proper-noun,feminine,Molly,other,Molly
betty,51,proper-noun,feminine,Betty,A1,Betty
ross,51,proper-noun,other,Ross,other,Ross
bruce,51,proper-noun,other,Bruce,A1,Bruce
dylan,51,proper-noun,other,Dylan,other,Dylan
gordon,51,proper-noun,other,Gordon,A1,Gordon
jesse,51,proper-noun,other,Jesse,A1,Jesse
hitler,51,proper-noun,other,Hitler,other,Hitler
anne,51,proper-noun,feminine,Anne,other,Anne
eva,51,proper-noun,feminine,Eva,other,Eva
rusia,51,proper-noun,other,Rusia,A1,Russia
oliver,50,proper-noun,other,Oliver,A1,Oliver
roy,50,proper-noun,masculine,Roy,other,Roy
charlotte,50,proper-noun,feminine,Charlotte,other,Charlotte
