word,frequency,type,gender,dictionaryForm,languageLevel,english
eh,1045,other,other,eh,other,uh
io,222,other,other,io,other,I
dra.,107,other,other,dra,other,dra
des,79,other,other,des,other,from
cia,56,other,other,Cía.,other,Inc.
l,51,other,other,l,other,the
monsieur,45,other,other,monsieur,other,mister
éi,40,other,other,éi,other,hey
ho,38,other,other,ho,other,oh
ó,37,other,other,ó,other,or
jin,35,other,other,jin,other,gin
bla,32,other,other,bla,other,blah
von,32,other,other,von,other,from
polla,30,noun,feminine,polla,other,hen
bo,29,other,other,bo,other,interjection (used to get attention or express surprise)
ll,27,other,other,ll,other,double L
j.,25,other,other,j.,other,abbreviation for 'Juan'
d.,24,other,other,d.,other,abbreviation for 'de' (of)
lex,24,other,neuter,lex,other,law
mm-hmm,24,other,other,mm-hmm,other,acknowledgment sound
c.,24,other,other,C,other,C
ie,23,other,other,ie,other,i.e.
milord,20,other,masculine,milord,other,my lord
estate,20,other,other,estado,other,state
q,18,other,other,q,other,letter q
m.,18,other,masculine,m.,other,male
mademoiselle,18,other,feminine,mademoiselle,other,miss
fu,17,other,other,fu,other,was
t.,17,other,other,t.,other,abbreviation for 'te' or 'tú'
fletcher,17,noun,masculine,fletcher,other,bowman
verga,17,noun,feminine,verga,other,penis
retrocedan,15,verb,other,retroceder,other,to retreat
d.c.,14,other,other,d.C.,other,A.D. (Anno Domini)
gu,14,other,other,gu,other,guy
dese,12,other,other,dese,other,may it be
dea,12,other,other,dea,other,goddess
hyung,12,other,other,hyung,other,"older brother (in Korean culture, used among males)"
zar,11,other,other,zar,other,to land (a plane)
gracie,11,other,other,gracie,other,thank you
casara,11,other,feminine,casara,other,she (subjunctive form of the verb 'casar')
puja,8,noun,feminine,puja,other,worship
oui,8,other,other,oui,other,yes
j.d.,7,other,other,juega de,other,play of
ahjussi,7,other,other,ahjussi,other,uncle (Korean term used to refer to older men)
beau,6,other,masculine,beau,other,handsome
ahhh,6,other,other,ahhh,other,expression of surprise or discomfort
harmon,6,other,other,armonía,other,harmony
feng,6,other,other,feng,other,feng shui
pc,6,other,other,PC,other,personal computer
shepard,6,other,masculine,shepherd,other,shepherd
lux,6,other,other,lux,other,light
sahib,6,other,other,sahib,other,"a title of respect, often used for a man"
ye,6,other,other,ye,other,you
mein,6,other,other,mein,other,my (in German)
cosmo,6,other,other,cosmo,other,cosmos
silva,6,noun,feminine,silva,other,grove
n.,6,other,other,n.,other,abbreviation for number
abed,6,other,other,abed,other,in bed
epa,5,other,other,epa,other,hey
sans,5,other,other,sans,other,without
bonjour,5,other,other,bonjour,other,hello
pas,5,other,other,pas,other,step
dudado,5,other,other,dudado,other,doubted
kaos,5,other,other,kaos,other,chaos
ole,5,other,other,olé,other,bravo
fraser,5,other,other,fraser,other,phrase
sonora,5,other,feminine,sonora,other,sonorous
confort,5,other,masculine,confort,other,comfort
mit,5,other,other,mit,other,with
revoir,4,other,other,revoir,other,to see again
estad,4,other,other,estar,other,to be
inc,4,other,other,inc.,other,incorporated
vous,4,pronoun,other,vous,other,you
co2,4,other,other,CO₂,other,carbon dioxide
fda,4,other,other,FDA,other,Food and Drug Administration
o.j.,4,other,other,o.j.,other,Jr.
mg,4,other,other,miligramos,other,milligrams
brando,4,noun,masculine,brando,other,brandy
carr,3,other,other,carro,other,car
moray,3,noun,feminine,moray,other,moray eel
hyungnim,3,other,other,hyungnim,other,"older brother (in Korean culture, used by males to address older male friends or siblings)"
lucious,3,other,other,lucious,other,luscious
ahjumma,3,other,other,ahjumma,other,"a term used to refer to a middle-aged woman, often in a respectful or endearing manner in Korean culture"
ci,3,other,other,ci,other,here
frau,3,other,feminine,frau,other,woman
alteres,3,noun,masculine,alteres,other,alters
ong,3,other,other,ONG,other,NGO
kung-fu,3,other,other,kung-fu,other,kung fu
klan,3,other,other,klan,other,clan
pros,3,other,masculine,pro,other,pro
-t,3,other,other,t,other,t
forme,3,other,other,forme,other,form
cunda,3,noun,feminine,cunda,other,crowd
isn,3,other,other,isn,other,isn't
bocota,3,noun,feminine,bocota,other,big mouth
vergas,3,noun,feminine,verga,other,penis (vulgar slang)
drakul,3,other,other,Drácula,other,Dracula
smash,3,verb,other,smasher,other,to smash
lill,3,other,other,lil,other,lil
roper,3,other,other,roper,other,to break
tusseries,3,other,other,tusseries,other,your series
xvii,3,other,other,xvii,other,seventeen
tor,3,noun,masculine,tor,other,bull
sayonara,3,other,other,sayonara,other,goodbye
garner,3,other,other,garner,other,to gather; to collect
remen,3,noun,masculine,remem,other,bear
romulanos,2,noun,masculine,romulano,other,Romulans
renard,2,other,other,renard,other,fox
sernos,2,other,other,sernos,other,to us (form of 'ser')
lol,2,other,other,lol,other,laughing out loud
lores,2,noun,masculine,lore,other,lore
noir,2,other,other,noir,other,black
idos,2,other,other,idos,other,gone
ysi,2,other,other,y si,other,and if
mma,2,other,other,mma,other,mixed martial arts
traguito,2,noun,masculine,traguito,other,little drink
j.b.,2,other,other,J. B.,other,J. B.
cosacos,2,noun,masculine,cosaco,other,Cossack
diem,2,other,other,diem,other,day
vita,2,noun,feminine,vita,other,life
fontaine,2,other,other,fontaine,other,fountain
ilama,2,noun,feminine,ilama,other,llama
explotara,2,verb,other,explotar,other,to explode
uu.,2,other,other,uu,other,uu
pelant,2,other,other,pelante,other,peeling
compuertas,2,noun,feminine,compuerta,other,gate
siegel,2,other,other,siegel,other,seal
bis,2,other,other,bis,other,twice
