word,frequency,type,gender,dictionaryForm,languageLevel,english
no,66916,adverb,other,no,A1,no
me,21231,pronoun,other,me,A1,me
he,4434,pronoun,masculine,él,A1,he
oh,2880,other,other,oh,A1,oh
favor,2852,noun,masculine,favor,A1,favor
sea,1907,noun,feminine,sea,B1,sea
idea,1045,noun,feminine,idea,A2,idea
ah,843,other,other,ah,A1,ah
hey,662,other,other,hey,other,hey
doctor,568,noun,masculine,doctor,A1,doctor
final,513,adjective,masculine,final,B1,final
ok,499,other,other,ok,A1,ok
plan,387,noun,masculine,plan,A1,plan
hospital,358,noun,masculine,hospital,A1,hospital
real,349,adjective,masculine,real,A2,real
general,322,adjective,masculine,general,A2,general
control,311,noun,masculine,control,B1,control
uh,303,other,other,uh,other,uh
the,297,other,other,the,other,the
error,294,noun,masculine,error,A1,error
s,273,other,other,s,other,s
hotel,266,noun,masculine,hotel,A1,hotel
personal,262,adjective,other,personal,A2,personal
i,254,pronoun,other,yo,A1,I
normal,242,adjective,feminine,normal,A2,normal
tom,235,noun,masculine,tom,A1,tom
don,227,noun,masculine,don,A2,don
embargo,225,noun,masculine,embargo,B2,embargo
detective,223,noun,masculine,detective,B2,detective
horrible,223,adjective,other,horrible,B1,horrible
club,218,noun,masculine,club,A1,club
media,216,noun,feminine,media,A2,media
terrible,216,adjective,other,terrible,B2,terrible
vine,206,noun,feminine,vides,B1,vine
director,202,noun,masculine,director,B1,director
honor,195,noun,masculine,honor,B2,honor
bar,192,noun,masculine,bar,A1,bar
simple,187,adjective,masculine,simple,A2,simple
ben,178,other,other,ben,other,ben
base,177,noun,feminine,base,A1,base
radio,169,noun,feminine,radio,A1,radio
color,158,noun,masculine,color,A1,color
you,155,pronoun,other,tú,A1,you
ia,154,other,other,IA,other,IA
bill,152,noun,masculine,billete,A1,bill
interior,151,adjective,masculine,interior,A2,interior
gay,136,adjective,other,gay,A1,gay
um,135,other,other,um,other,um
ray,127,noun,masculine,rayo,A1,ray
red,125,adjective,feminine,roja,A1,red
taxi,125,noun,masculine,taxi,A1,taxi
mark,119,other,other,mark,other,mark
ideas,118,noun,feminine,idea,A1,ideas
familiar,117,adjective,masculine,familiar,B1,familiar
will,116,other,other,will,other,will
inspector,116,noun,masculine,inspector,B1,inspector
total,115,adjective,masculine,total,A2,total
t,114,other,other,t,other,t
show,113,verb,other,mostrar,A2,show
ei,108,other,other,ei,other,ei
animal,107,noun,masculine,animal,A1,animal
ex,107,other,other,ex,A1,ex
date,105,noun,feminine,fecha,A1,date
humor,103,noun,masculine,humor,A2,humor
and,102,other,other,y,A1,and
central,102,adjective,other,central,B1,central
m,101,other,other,m,other,m
fiscal,100,adjective,masculine,fiscal,B2,fiscal
natural,100,adjective,feminine,natural,B1,natural
sexual,100,adjective,masculine,sexual,B1,sexual
d,100,other,other,d,other,d
to,98,other,other,to,A1,to
video,98,noun,masculine,vídeo,A1,video
local,97,adjective,masculine,local,A2,local
