word,frequency,type,gender,dictionaryForm,languageLevel,english
hubiera,565,verb,other,haber,B2,would have
probablemente,459,adverb,other,probablemente,B2,probably
puta,433,noun,feminine,puta,B2,prostitute
maldita,415,adjective,feminine,maldito,B2,damned
habría,405,verb,other,haber,B2,would have
demonios,397,noun,masculine,demonio,B2,demons
diablos,363,noun,masculine,diablo,B2,devils
maldito,357,adjective,masculine,maldito,B2,damned
habrá,334,verb,other,haber,B2,there will be
jamás,293,adverb,other,jamás,B2,never
pudiera,214,verb,other,poder,B2,could
investigación,213,noun,feminine,investigación,B2,investigation
diría,212,verb,other,decir,B2,I would say
alma,204,noun,feminine,alma,B2,soul
crimen,198,noun,masculine,crimen,B2,crime
joder,180,verb,other,joder,B2,to fuck
juicio,173,noun,masculine,juicio,B2,judgment
excelente,171,adjective,other,excelente,B2,excellent
respecto,165,other,other,respecto,B2,regarding
comandante,153,noun,masculine,comandante,B2,commander
definitivamente,149,adverb,other,definitivamente,B2,definitely
majestad,148,noun,feminine,majestad,B2,majesty
justicia,140,noun,feminine,justicia,B2,justice
fantástico,138,adjective,masculine,fantástico,B2,fantastic
hubiese,119,verb,other,haber,B2,would have
señoría,118,noun,feminine,señoría,B2,Your Honor
haberte,115,verb,other,haber,B2,to have (auxiliary verb)
envió,108,noun,masculine,envío,B2,send
sepas,105,verb,other,saber,B2,"you (singular, informal) know"
profesional,104,adjective,masculine,profesional,B2,professional
líder,104,noun,masculine,líder,B2,leader
desaparecido,103,adjective,masculine,desaparecido,B2,disappeared
hubieras,103,verb,other,haber,B2,you would have
últimamente,103,adverb,other,últimamente,B2,lately
asesinado,102,adjective,masculine,asesinado,B2,murdered
habido,98,verb,other,haber,B2,to have
perfectamente,98,adverb,other,perfectamente,B2,perfectly
responsabilidad,97,noun,feminine,responsabilidad,B2,responsibility
bastardo,96,noun,masculine,bastardo,B2,bastard
fuese,95,verb,other,ser,B2,were
voluntad,95,noun,feminine,voluntad,B2,will
teoría,95,noun,feminine,teoría,B2,theory
impresionante,94,adjective,feminine,impresionante,B2,impressive
hayan,93,verb,other,haber,B2,to have
profundo,88,adjective,masculine,profundo,B2,deep
grandioso,84,adjective,masculine,grandioso,B2,grandiose
complicado,83,adjective,masculine,complicado,B2,complicated
visión,83,noun,feminine,visión,B2,vision
leído,82,verb,other,leer,B2,read
cáncer,81,noun,masculine,cáncer,B2,cancer
jodido,81,adjective,masculine,jodido,B2,screwed
inteligencia,80,noun,feminine,inteligencia,B2,intelligence
cabrón,79,noun,masculine,cabrón,B2,bastard
suponía,78,verb,other,suponer,B2,to suppose
seria,78,adjective,feminine,seria,B2,serious
aparentemente,76,adverb,other,aparentemente,B2,apparently
caído,75,adjective,masculine,caído,B2,fallen
decírselo,73,verb,other,decírselo,B2,to tell it to (someone)
importaría,72,verb,other,importar,B2,would import
supiera,72,verb,other,saber,B2,knew
homicidio,69,noun,masculine,homicidio,B2,homicide
funcionó,68,verb,other,funcionar,B2,functioned
tratado,68,noun,masculine,tratado,B2,treaty
dijera,67,verb,other,decir,B2,to say
análisis,67,noun,masculine,análisis,B2,analysis
conciencia,66,noun,feminine,conciencia,B2,conscience
suicidio,66,noun,masculine,suicidio,B2,suicide
casarme,64,verb,other,casarse,B2,to marry
arresto,64,noun,masculine,arresto,B2,arrest
serlo,63,verb,other,serlo,B2,to be it
precisamente,62,adverb,other,precisamente,B2,precisely
hubieran,61,verb,other,haber,B2,they would have
alteza,60,noun,feminine,alteza,B2,highness
circunstancias,59,noun,feminine,circunstancia,B2,circumstances
discúlpeme,58,verb,other,disculpar,B2,excuse me
competencia,58,noun,feminine,competencia,B2,competition
elegante,57,adjective,masculine,elegante,B2,elegant
océano,56,noun,masculine,océano,B2,ocean
autoridad,56,noun,feminine,autoridad,B2,authority
capaces,55,adjective,masculine,capaz,B2,capable
