word,frequency,type,gender,dictionaryForm,languageLevel,english
suicidó,25,noun,masculine,suicidio,C1,suicide
rehén,23,noun,masculine,rehén,C1,hostage
suicida,21,adjective,masculine,suicida,C1,suicidal
avanzado,16,adjective,masculine,avanzado,C1,advanced
rae,7,other,other,RAE,C1,Royal Spanish Academy
suicidarme,7,verb,other,suicidarse,C1,to commit suicide
edén,7,noun,masculine,edén,C1,eden
argo,6,noun,masculine,argo,C1,argon
habérselo,6,verb,other,haber+se lo,C1,to have it done to oneself
dijese,6,verb,other,decir,C1,say
aneurisma,6,noun,masculine,aneurisma,C1,aneurysm
muchísima,6,adjective,feminine,muchísima,C1,very much
metanfetamina,6,noun,feminine,metanfetamina,C1,methamphetamine
incógnito,5,other,masculine,incógnito,C1,incognito
sere,5,other,other,ser,C1,to be
erudito,5,noun,masculine,erudito,C1,scholar
agradecérselo,5,verb,other,agradecérselo,C1,to be grateful for it
genocidio,5,noun,masculine,genocidio,C1,genocide
albedrío,4,noun,masculine,albedrío,C1,free will
cuántico,4,adjective,masculine,cuántico,C1,quantum
inconcebible,3,adjective,other,inconcebible,C1,inconceivable
maxim,3,other,other,máxim,C1,maximum
supere,3,other,other,superé,C1,I exceeded
esquizofrénico,3,adjective,masculine,esquizofrénico,C1,schizophrenic
decidirme,3,verb,other,decidirme,C1,to decide for myself
inquebrantable,2,adjective,other,inquebrantable,C1,unbreakable
maniaco,2,noun,masculine,maníaco,C1,maniac
graciosísimo,2,adjective,masculine,graciosísimo,C1,very funny
explíquese,2,verb,other,explicarse,C1,explain yourself
hablase,2,verb,other,hablar,C1,he/she/it spoke
agradecérmelo,2,verb,other,agradecérmelo,C1,to thank it to me
craven,2,adjective,other,craven,C1,cowardly
hicieses,2,verb,other,hacer,C1,you did (subjunctive)
eruditos,2,noun,masculine,erudito,C1,scholars
matase,2,verb,other,matarse,C1,to kill oneself
arrojo,2,noun,masculine,arrojo,C1,redness
devolvérsela,2,verb,other,devolverse la,C1,to return it (to oneself)
carpediem,2,other,other,carpe diem,C1,seize the day
psicoanálisis,2,noun,masculine,psicoanálisis,C1,psychoanalysis
cardassiano,2,adjective,masculine,cardassiano,C1,Cardassian
sabiendas,2,other,other,sabiendas,C1,knowing
omnipotente,2,adjective,masculine,omnipotente,C1,omnipotent
criminalística,2,noun,feminine,criminalística,C1,forensic science
patológico,2,adjective,masculine,patológico,C1,pathological
patíbulo,2,noun,masculine,patíbulo,C1,gallows
sedada,2,noun,feminine,sedada,C1,sedation
bendigo,2,noun,masculine,bendigo,C1,blessing
oxicodona,2,noun,feminine,oxicodona,C1,oxycodone
rarísimo,2,adjective,masculine,rarísimo,C1,rare
permitírmelo,2,verb,other,permitírselo,C1,to allow me to do it
telépata,2,noun,masculine,telépata,C1,telepath
quirúrgicamente,2,adverb,other,quirúrgicamente,C1,surgically
espermatozoides,2,noun,masculine,espermatozoide,C1,spermatozoa
suicidaría,2,verb,other,suicidar,C1,would commit suicide
alia,2,other,other,alia,C1,other (used to refer to another entity or person)
nietzscheanos,2,adjective,masculine,nietzscheano,C1,Nietzschean
suicidara,2,adjective,feminine,suicidara,C1,suicidal
pensase,2,verb,other,pensar,C1,to think
estricnina,2,noun,feminine,estricnina,C1,strychnine
fornicar,2,verb,other,fornicar,C1,to fornicate
intachable,2,adjective,feminine,intachable,C1,unblemished
chúpamela,2,verb,other,chupar,C1,suck it
estasis,2,noun,feminine,estasis,C1,stasis
antisemitismo,2,noun,masculine,antisemitismo,C1,antisemitism
maître,2,noun,masculine,maître,C1,master
pederasta,1,noun,masculine,pederasta,C1,pedophile
inverosímil,1,adjective,feminine,inverosímil,C1,unlikely
transmutación,1,noun,feminine,transmutación,C1,transmutation
miocardio,1,noun,masculine,miocardio,C1,myocardium
conti,1,other,other,contínuo,C1,continuous
ilustrísima,1,adjective,feminine,ilustrísima,C1,most illustrious
multimillonarios,1,noun,masculine,multimillonario,C1,multimillionaires
aórtica,1,adjective,feminine,aórtido,C1,aortic
inimaginables,1,adjective,masculine,inimaginable,C1,unimaginable
suicidaré,1,verb,other,suicidar,C1,I will commit suicide
neumotórax,1,noun,masculine,neumotórax,C1,pneumothorax
metafísica,1,noun,feminine,metafísica,C1,metaphysics
cáspita,1,other,other,cáspita,C1,golly
anafiláctico,1,adjective,masculine,anafiláctico,C1,anaphylactic
multiverso,1,noun,masculine,multiverso,C1,multiverse
sinó,1,other,other,sinó,C1,otherwise
exponencial,1,adjective,feminine,exponencial,C1,exponential
taquiones,1,noun,masculine,taquión,C1,tachyon
cinética,1,adjective,feminine,cinético,C1,kinetic
uranio,7,noun,masculine,uranio,C1,uranium
moribundo,7,adjective,masculine,moribundo,C1,moribund
suicidado,7,noun,masculine,suicidado,C1,suicided person
mátala,6,verb,other,matar,C1,kill her
mitzvah,6,other,other,mitzvá,C1,commandment
viniese,5,verb,other,venir,C1,came
suicidarte,5,verb,other,suicidarse,C1,to commit suicide
cabronazo,4,noun,masculine,cabronazo,C1,asshole
sócrates,4,proprer-noun,other,Sócrates,C1,Socrates
antimateria,4,noun,feminine,antimateria,C1,antimatter
inmunológico,3,adjective,masculine,inmunológico,C1,immunological
postraumático,3,adjective,masculine,postraumático,C1,post-traumatic
cloroformo,3,noun,masculine,cloroformo,C1,chloroform
hijoputa,3,other,other,hijoputa,C1,son of a bitch
queridísimo,2,adjective,masculine,queridísimo,C1,dearest
estáte,2,other,other,estarte,C1,be (informal command)
elíseos,2,noun,masculine,elíseo,C1,eliseo
fracase,1,noun,feminine,fracase,C1,fraction
shogunato,1,noun,masculine,shogunato,C1,shogunate
estupefacientes,1,noun,masculine,estupefaciente,C1,narcotics
vir,1,noun,masculine,vir,C1,man
llanamente,1,adverb,other,llanamente,C1,plainly
psíquicas,1,adjective,feminine,psíquica,C1,psychic
nonato,1,adjective,masculine,nonato,C1,unborn
ulla,1,noun,feminine,ulla,C1,a type of fish commonly found in Spanish-speaking countries
láudano,1,noun,masculine,láudano,C1,laudanum
importantísimo,1,adjective,masculine,importantísimo,C1,very important
barbitúricos,1,noun,masculine,barbitúrico,C1,barbiturates
profanación,1,noun,feminine,profanación,C1,profanation
toracotomía,1,noun,feminine,toracotomía,C1,thoracotomy
endemoniadamente,1,adverb,other,endemoniadamente,C1,demonically
esquizofrénica,1,adjective,feminine,esquizofrénico,C1,schizophrenic
sánscrito,1,adjective,masculine,sánscrito,C1,Sanskrit
permitírnoslo,1,verb,other,permitírnoslo,C1,to allow ourselves it
teletransporte,1,noun,masculine,teletransporte,C1,teleportation
promicina,1,noun,feminine,promicina,C1,promicine
victimología,1,noun,feminine,victimología,C1,victimology
